arm,dir_deg,speed,n,n_dn_mean,n_dn_sd,n_dn_med,n_dn_ci_lo,n_dn_ci_hi,n_base_mean,n_base_sd,n_base_med,n_base_ci_lo,n_base_ci_hi,li_mean,li_sd,li_med,li_ci_lo,li_ci_hi,d_away_mean,d_away_sd,d_away_med,d_away_ci_lo,d_away_ci_hi,disp_mean,disp_sd,disp_med,disp_ci_lo,disp_ci_hi,ta_mean,ta_sd,ta_med,ta_ci_lo,ta_ci_hi,v_peak_mean,v_peak_sd,v_peak_med,v_peak_ci_lo,v_peak_ci_hi,esc_peak_mean,esc_peak_sd,esc_peak_med,esc_peak_ci_lo,esc_peak_ci_hi
A,0,fast,100,130.46,29.308162685504527,145.0,124.64975000000001,135.83025,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.20173964947548714,0.08758758881082432,0.20466058704383078,0.18380911081336376,0.21799006827897222,0.23814180491995832,0.05684630487475057,0.22592455066974082,0.22746982422290984,0.2493203436322272,0.94,0.23748684174075835,1.0,0.89,0.98,1.227000735835675,0.09630590293908514,1.2522458511244445,1.207519969021867,1.2427614266971216,2.276318467161618,0.5110765368090986,2.5293805599212646,2.18242777034617,2.3663764048680895
A,0,medium,100,109.14,40.20448233717231,128.5,101.2085,116.63199999999999,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.26646695548849303,0.12164806187153572,0.2764583272346667,0.24199003456815482,0.28927623833438276,0.316257660496872,0.09177238792550856,0.32996238116557963,0.297782353721283,0.3337568211615617,0.95,0.21794494717703375,1.0,0.9097500000000001,0.99,0.9846496858628729,0.14109522965373059,0.9696740486968842,0.9562877744121359,1.013316026832364,1.1344135562121118,0.28042973607983407,1.2267776429653168,1.075770425341576,1.1875200200267897
A,0,slow,100,45.72,22.86572981559959,48.5,41.4195,50.09075,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.12334599901726717,0.04602103254493891,0.1298706165614452,0.11432698643207184,0.13206205465007212,0.16890645698446274,0.029930410011366437,0.16072276610922204,0.16282576052395187,0.1749878189641979,0.96,0.19595917942265423,1.0,0.92,0.99,0.5747636251699019,0.0981017879490439,0.55466292913645,0.5548315728551404,0.5949144780535324,0.5542115340075489,0.23546315263124717,0.5879309624433517,0.5073524109759817,0.6014142051129354
A,45,fast,100,104.59,15.87330778382376,108.0,101.47,107.5505,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.537940527219021,0.4987388684656531,0.7091284987277353,0.4311669038890564,0.6233394705125354,0.2368682835969887,0.11930508822676793,0.23693075010105635,0.2137581148741465,0.2591436141351817,0.29445678355006316,0.08082996678813738,0.29297712750684163,0.27951771399815856,0.30960731243762285,0.93,0.2551470164434615,1.0,0.88,0.9702499999999997,1.2462454050627922,0.12171163724999451,1.285202751059333,1.2226520774274479,1.266797175502377,1.6227282472327351,0.19183659593597316,1.6062469789758325,1.5849666831307112,1.6627496765153484
A,45,medium,100,62.39,18.50723912419138,60.0,58.76925000000001,66.2405,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.5401672225846853,0.565520929038809,0.790491118077325,0.42416896602640136,0.6393995250026894,0.23987858007917962,0.12711970432926611,0.2290350420161869,0.21360769250421444,0.2644181671185009,0.31069714134880405,0.08652758143935206,0.29956956682203606,0.2932273454372724,0.32783833348864705,0.96,0.19595917942265426,1.0,0.92,0.99,0.9491459758183346,0.1653000463591811,0.9039551667688739,0.917441585572262,0.983079843869497,0.7714708325202173,0.23590609836448662,0.692934786900878,0.7270002871289694,0.820205789585746
A,45,slow,100,29.17,13.881682174722197,29.0,26.58975,31.88,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.6567102404373834,0.5650898107431458,0.9166666666666666,0.5386781306999344,0.7649134559141958,0.11230173537619581,0.05045810820033032,0.11161480281124106,0.10261474397091794,0.12144037194634781,0.18809448688860317,0.025509449674517577,0.18935280797877443,0.1832126513997609,0.19296129841965828,0.96,0.19595917942265423,1.0,0.92,0.99,0.5602652778411369,0.10293602499456891,0.5276684123698828,0.5409430533160144,0.5799969607904023,0.38870146147814827,0.1599663989718761,0.37079955637454987,0.35748858092579006,0.42097210880045466
A,90,fast,100,99.13,13.866978762513485,102.0,96.1885,101.75025,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.7042649398269093,0.4589706928526548,0.8974332000841574,0.610744799693942,0.7835180028892335,0.28259269480580246,0.11409842411158508,0.3203101534347105,0.25994363479548543,0.30374042981297256,0.3258950671591096,0.07114822209494656,0.3514399529471194,0.3124855351920845,0.3393716843826038,0.94,0.23748684174075835,1.0,0.89,0.98,1.2643062997844658,0.06670405765293447,1.2885652834256063,1.2510173641721651,1.2758142882904426,1.602053539454937,0.2576410992233983,1.5727290511131287,1.5500020675994455,1.6542930682254955
A,90,medium,100,58.82,19.819878909821824,56.0,54.9695,63.07025,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.6912487902746797,0.5639413154915203,0.9629629629629629,0.5782515836288211,0.7953742620521967,0.28992437915865316,0.12463751899800975,0.31611605412214794,0.264761041494532,0.3137395059102373,0.345101193584114,0.08044411244088928,0.3595807293238501,0.3297160140961259,0.36040104269902,0.95,0.21794494717703372,1.0,0.91,0.99,1.053704834625284,0.16751133963742654,1.0926345234145294,1.021490927252263,1.085507355789823,0.773230253099126,0.2723841979309044,0.7101087904557062,0.7217570815635868,0.828108428538571
A,90,slow,100,19.53,15.853362419373376,16.5,16.76975,22.87,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.7606907711790397,0.5395748761453564,1.0,0.6408416341727018,0.8640639719819898,0.10950903063670073,0.049246025024535726,0.12430119852862678,0.0990217617967415,0.11814306509027367,0.1554594414126614,0.03532886698475987,0.15455413189627304,0.14867339826385714,0.1620874825639333,0.92,0.2712931993250107,1.0,0.86,0.97,0.532351239301287,0.1189616620270361,0.49654135852463244,0.5079612275589805,0.5553608056879606,0.3616647027486944,0.1827692680168853,0.31295906007289886,0.3279477133212003,0.401757190364806
A,135,fast,100,85.99,18.177730881493435,85.5,82.33925,89.87075,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.6065943619420365,0.4455342367482518,0.8255434782608695,0.5201112869823925,0.6838410700386064,0.15583757733674503,0.1226052018869897,0.18427327321629725,0.1332611064374849,0.18013859335703838,0.28751515653075943,0.07296815864284374,0.3203650654542697,0.27358655387537245,0.3007924213041318,0.85,0.3570714214271425,1.0,0.78,0.92,1.1910865509065105,0.1621551804176852,1.2709232096959164,1.163606415005498,1.2201599542377572,1.5171110451221466,0.3079693376540423,1.5142771117389202,1.4607590900845826,1.5804291933383792
A,135,medium,100,56.4,17.775826281779423,53.0,53.25975,60.34075,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.5835983706636559,0.5499099654377898,0.9028213166144201,0.47088769660570623,0.6915339378481813,0.16478378035181904,0.1400157540220357,0.16794112283476373,0.1372817175672285,0.1941792473722686,0.2788132243915183,0.09130793069921973,0.3143441580047162,0.2606675268065294,0.2968759909824704,0.8,0.4,1.0,0.72,0.88,1.0528668429065469,0.174494623653205,1.0914829283692162,1.0200232316206725,1.0865980965654454,0.8612963349188899,0.3438703628238115,0.7477472051978111,0.7965502545828533,0.9321261678864556
A,135,slow,100,11.59,15.521014786411357,7.0,8.849499999999999,14.690249999999999,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.7741555976805488,0.47799276458327994,1.0,0.6619977514705302,0.8762495064403717,0.08876557513491011,0.05651749752375545,0.1118437034833358,0.07691679153604776,0.09918645878364586,0.13817367503788003,0.03876255897243888,0.1271987770712178,0.13090899222608107,0.14618675618296006,0.84,0.36660605559646725,1.0,0.76,0.91,0.49105729189405456,0.18125453478303838,0.47746456408004034,0.45331190231464846,0.5265166628764308,0.3471035358623628,0.2377982675922045,0.28016312420368195,0.3026646148429946,0.3997880800119365
A,180,fast,100,79.76,12.880310555262243,78.0,77.39975000000001,82.28,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.01977312245003292,0.13154302903373463,0.017691619477514357,-0.004897533791888959,0.04627363241615524,0.2297076126592454,0.058987577404752724,0.2298055016256621,0.21876278852544395,0.24149817855122108,0.48,0.4995998398718718,0.0,0.38975000000000004,0.57,1.0153965152928386,0.17354101598198204,0.9367756315562258,0.9817171480445436,1.0496370362499938,1.4181768028065562,0.23829767282386732,1.3970947265625,1.3769738804446534,1.4679060871601104
A,180,medium,100,57.53,18.462099013925798,60.0,54.13975,61.45075,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.05643825284823458,0.12710272649314375,0.035695236797207,0.03203795004839659,0.08213327655532786,0.21439944616988385,0.07264578650547222,0.22576934084644576,0.19930328227811775,0.22903632478351998,0.52,0.4995998398718718,1.0,0.43,0.62,1.0189542571553931,0.15822511886919904,1.0134046613052738,0.9895867170720055,1.0498168824502663,1.0981461709491596,0.3950627846441669,1.221765797585249,1.0257669772137878,1.177206405992154
A,180,slow,100,6.97,11.92766112865385,3.0,4.89975,9.68025,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.08254727623454887,0.05882245950423501,0.11285774960296163,0.07135219037777527,0.09344255067887788,0.13380491308133807,0.04682868128562489,0.12538896631788035,0.12449677577385342,0.14316301129215758,0.87,0.33630343441600474,1.0,0.8,0.93,0.45868994003358765,0.23727571355091687,0.3826660220139054,0.4121989969371405,0.504318681990452,0.34707397606544904,0.26817257600941125,0.2574347576409082,0.29776037016238793,0.3992063524869724
