arm,dir_deg,speed,n,n_dn_mean,n_dn_sd,n_dn_med,n_dn_ci_lo,n_dn_ci_hi,n_base_mean,n_base_sd,n_base_med,n_base_ci_lo,n_base_ci_hi,li_mean,li_sd,li_med,li_ci_lo,li_ci_hi,d_away_mean,d_away_sd,d_away_med,d_away_ci_lo,d_away_ci_hi,disp_mean,disp_sd,disp_med,disp_ci_lo,disp_ci_hi,ta_mean,ta_sd,ta_med,ta_ci_lo,ta_ci_hi,v_peak_mean,v_peak_sd,v_peak_med,v_peak_ci_lo,v_peak_ci_hi,esc_peak_mean,esc_peak_sd,esc_peak_med,esc_peak_ci_lo,esc_peak_ci_hi
A,0,fast,100,141.55,12.716426384798522,146.0,138.9495,143.94174999999998,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.1935991155301538,0.0319202957361011,0.18640477520585289,0.18736812416941037,0.19978037207763397,0.2092977440587405,0.03271958424661268,0.20831869893921467,0.20312465079161976,0.21568139029719627,1.0,0.0,1.0,1.0,1.0,1.1303794029301892,0.021585441460524227,1.1238073718654336,1.1262401759406315,1.1344190772523908,2.48153485417366,0.19813916246127064,2.553724467754364,2.442278745740652,2.5177353876531123
A,0,medium,100,136.79,28.45216863439411,148.0,131.11,142.4715,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.2838280003208279,0.06006643138605565,0.28899177329589754,0.2720358042677711,0.29509697529899254,0.31746008497159783,0.03728563086430214,0.31505340881321275,0.3100539553762151,0.32428593627102503,1.0,0.0,1.0,1.0,1.0,0.9222990924256167,0.07049620552599606,0.9178708528510408,0.9090833500175136,0.9359512741529145,1.292824621219188,0.25053767323393283,1.3933903574943542,1.2421606828598304,1.3413263717968946
A,0,slow,100,55.52,13.724780508263146,57.0,52.94,58.28,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.11792998736327334,0.015136267818775424,0.11607945270941668,0.11493034583791162,0.12091471351322403,0.1424545319671555,0.0215391110753816,0.13753256206965153,0.1382264125629377,0.14668804102377314,1.0,0.0,1.0,1.0,1.0,0.4942445763824943,0.055407865484137085,0.48162549835244806,0.4827877150805555,0.5051064965265617,0.695223558510188,0.17349564008937704,0.6729134172201157,0.6617347613087623,0.7299855813463219
A,45,fast,100,118.72,9.731474708388241,120.0,116.79975,120.6205,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.7172883496937063,0.15249400815338085,0.698,0.6880715838135367,0.7468380725018604,0.25087558867896875,0.06404117549244687,0.2692890985179134,0.23761439837779555,0.2630171809965598,0.2913068287415893,0.03672902817772636,0.3022017016458425,0.28387463404892177,0.2982129067000673,1.0,0.0,1.0,1.0,1.0,1.177896229639092,0.011306660269825818,1.1809334133956007,1.1756369769255546,1.1799284329736441,1.9046009516343474,0.21301380232092867,1.8745979517698288,1.8608839543620124,1.9420377015518024
A,45,medium,100,76.84,17.865452695076048,73.0,73.69975000000001,80.46024999999999,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.7803497724918982,0.21748826813887814,0.7922077922077922,0.7362794514244265,0.8203031143391397,0.2751795064803302,0.10494176948147386,0.26198911215864307,0.2545052035610738,0.2944063646079026,0.3271127864150552,0.06319660925788888,0.30554118329360236,0.31472381056410026,0.3392120895535792,1.0,0.0,1.0,1.0,1.0,0.9106436600814424,0.13225968780525915,0.8642741669827141,0.8850106484010352,0.9360193955601627,0.8313330004879771,0.177061246852388,0.786559778265655,0.797642915653707,0.867224084868328
A,45,slow,100,33.96,9.280000000000001,32.0,32.279250000000005,35.91074999999999,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.8185647635757711,0.2527595002994754,0.8840336134453781,0.7672737773728145,0.8651607234110889,0.11183054451014884,0.03564511959305776,0.11222068404380742,0.10481397649671431,0.11850393408288573,0.16187757421391386,0.020002329199989923,0.16743726847628312,0.15799656999520906,0.16568373001095338,0.99,0.09949874371066199,1.0,0.97,1.0,0.4759363319567032,0.03842241050578286,0.4724138566343378,0.4685432561365708,0.4834030853610478,0.4585225139958865,0.1281977761418655,0.4165603257715702,0.4342350877448077,0.48392644215555897
A,90,fast,100,100.34,8.79001706482985,102.0,98.61,102.1405,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.9033733955761566,0.0670683644221283,0.926265715256541,0.8896889542206167,0.9150888625853988,0.28052939206047645,0.042984240668311004,0.29559850110769303,0.2721021252778235,0.28895722754777664,0.3069960706377073,0.021667511659005365,0.30782979649036185,0.3025046017604966,0.3112069624922276,1.0,0.0,1.0,1.0,1.0,1.1785365273583357,0.013591923310477892,1.18331582189107,1.1759937346353362,1.1812255915712697,1.63391428925097,0.14273811368622438,1.6485598683357239,1.6052617969750427,1.6643205306325108
A,90,medium,100,66.23,5.683053756564335,65.5,65.04,67.29025,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.9410149645455348,0.06954902303715847,0.9682539682539683,0.9270695294375809,0.9541343018904656,0.31650668498467893,0.07859557601968835,0.3425612714615631,0.300710828497402,0.3324636748850558,0.35920593123694544,0.04284931724760572,0.3672676188178512,0.35062957692210817,0.3677267548326478,1.0,0.0,1.0,1.0,1.0,1.0402777209390113,0.12156635230692751,1.0729975505949723,1.0169792568431741,1.0636687150498445,0.7951223031441441,0.12538449745002472,0.7840734794735909,0.771115931158914,0.8189140801802508
A,90,slow,100,19.15,3.6506848672543617,19.0,18.45975,19.86025,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.9738723148741939,0.05879044866300059,1.0,0.9609636090009595,0.985267591204568,0.11512149325594873,0.021865300322055168,0.11694738004105623,0.1106500635577822,0.11914897979070435,0.13557549972435015,0.019355382983936503,0.13966916621129427,0.1318388688556358,0.1392783468891283,0.99,0.09949874371066199,1.0,0.97,1.0,0.47233915211327454,0.06747389666380059,0.46371299017648965,0.4592753354023768,0.48580233695541347,0.39152292554088836,0.09971408424373836,0.36965973297628807,0.37426111501128834,0.411910438190687
A,135,fast,100,86.24,7.333648478076925,85.0,84.839,87.63,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.7777496442538273,0.23382731842745413,0.8487818157070913,0.7291912300847462,0.8195092488940021,0.14006555925588923,0.1053144899101498,0.16440647048504173,0.119206190027479,0.1602397951385305,0.27697919258872317,0.03734092071638242,0.2849928544464293,0.2695240226893722,0.2835107909150762,0.86,0.34698703145794946,1.0,0.79,0.93,1.1107714024437656,0.13072540506065847,1.1552434666436506,1.0840736061735645,1.1345012741908038,1.5066214660182595,0.09668566654837575,1.4902319759130478,1.48739923775848,1.5252688759658486
