seed,pop,cpp_hz,py_hz
1,vpn,3.584870848708487,3.584870848708487
1,inter,0.9045801526717557,0.9045801526717557
1,dn,16.0,16.0
1,dn_L,31.833333333333332,31.833333333333332
1,dn_R,0.16666666666666666,0.16666666666666666
1,latency_ms,370.0,370.0
1,exact_spike_total,2372.0,2372.0
2,vpn,3.6826568265682655,3.6826568265682655
2,inter,0.9770992366412213,0.9770992366412213
2,dn,16.333333333333332,16.333333333333332
2,dn_L,32.333333333333336,32.333333333333336
2,dn_R,0.3333333333333333,0.3333333333333333
2,latency_ms,380.0,380.0
2,exact_spike_total,2448.0,2448.0
3,vpn,3.562730627306273,3.562730627306273
3,inter,0.8969465648854962,0.8969465648854962
3,dn,15.25,15.25
3,dn_L,30.333333333333332,30.333333333333332
3,dn_R,0.16666666666666666,0.16666666666666666
3,latency_ms,190.0,190.0
3,exact_spike_total,2349.0,2349.0
4,vpn,3.5332103321033212,3.5332103321033212
4,inter,0.8931297709923665,0.8931297709923665
4,dn,15.75,15.75
4,dn_L,31.0,31.0
4,dn_R,0.5,0.5
4,latency_ms,380.0,380.0
4,exact_spike_total,2338.0,2338.0
5,vpn,3.708487084870849,3.708487084870849
5,inter,1.0572519083969465,1.0572519083969465
5,dn,16.75,16.75
5,dn_L,33.5,33.5
5,dn_R,0.0,0.0
5,latency_ms,370.0,370.0
5,exact_spike_total,2488.0,2488.0
6,vpn,3.678966789667897,3.678966789667897
6,inter,0.9923664122137404,0.9923664122137404
6,dn,16.75,16.75
6,dn_L,32.833333333333336,32.833333333333336
6,dn_R,0.6666666666666666,0.6666666666666666
6,latency_ms,380.0,380.0
6,exact_spike_total,2455.0,2455.0
7,vpn,3.6199261992619927,3.6199261992619927
7,inter,0.9580152671755725,0.9580152671755725
7,dn,16.25,16.25
7,dn_L,32.333333333333336,32.333333333333336
7,dn_R,0.16666666666666666,0.16666666666666666
7,latency_ms,370.0,370.0
7,exact_spike_total,2408.0,2408.0
8,vpn,3.6273062730627306,3.6273062730627306
8,inter,0.916030534351145,0.916030534351145
8,dn,15.833333333333334,15.833333333333334
8,dn_L,31.5,31.5
8,dn_R,0.16666666666666666,0.16666666666666666
8,latency_ms,390.0,390.0
8,exact_spike_total,2396.0,2396.0
9,vpn,3.511070110701107,3.511070110701107
9,inter,0.9045801526717557,0.9045801526717557
