local_index,bodyId,type,instance,side,role,nt,sign,sector,input_channel_kind,input_gain,superclass
61,521463,CB3201,CB3201_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
62,22309,CB3201,CB3201_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
63,21392,CB3400,CB3400_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
64,19951,CB3400,CB3400_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
65,15994,CB3513,CB3513_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
66,71157,CB3513,CB3513_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
67,16930,CB3513,CB3513_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
68,17065,CB3513,CB3513_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
69,14091,CB3544,CB3544_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
70,15733,CB3544,CB3544_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
71,20143,CB4102,CB4102_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
72,44388,CB4102,CB4102_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
73,72379,CB4102,CB4102_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
74,119838,CB4102,CB4102_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
75,27055,CB4102,CB4102_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
76,35502,CB4102,CB4102_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
77,78011,CB4102,CB4102_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
78,588414,CB4163,CB4163_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
79,18977,CB4163,CB4163_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
80,13405,CB4179,CB4179_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
81,80085,CL022_b,CL022_b_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
82,13919,CL022_b,CL022_b_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
83,11938,CL066,CL066_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
84,18275,CL128a,CL128a_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
85,514526,CL128a,CL128a_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
86,24379,CL128a,CL128a_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
87,535044,CL128a,CL128a_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
88,10778,CL286,CL286_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
89,11108,CL286,CL286_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
90,21342,CL323,CL323_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
91,30883,CL323,CL323_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
92,76637,CL323,CL323_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
93,527694,CL323,CL323_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
94,14057,CL340,CL340_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
95,16103,CL340,CL340_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
96,10909,CL340,CL340_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
97,14910,CL340,CL340_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
98,10361,DNg40,DNg40(hb5813056435)_L,L,inter,glutamate,-1.0,-1,,0.0,descending_neuron
99,10923,DNg40,DNg40(hb5813056435)_R,R,inter,glutamate,-1.0,-1,,0.0,descending_neuron
100,10417,DNp103,DNp103(PVLP119)_L,L,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
101,10283,DNp103,DNp103(PVLP119)_R,R,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
102,515575,DNp26,DNp26_R,R,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
103,10244,DNp55,DNp55(WED180)_L,L,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
104,33037,DNp69,DNp69(CL304)_L,L,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
105,10957,DNp69,DNp69(CL304)_R,R,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
106,10580,DNp70,DNp70(CL305)_L,L,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
107,11133,DNp70,DNp70(CL305)_R,R,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
108,10091,DNpe042,DNpe042(CL262)_L,L,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
109,12628,DNpe042,DNpe042(CL262)_R,R,inter,acetylcholine,1.0,-1,,0.0,descending_neuron
110,529031,GNG300,GNG300_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
111,10263,GNG300,GNG300_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
112,555309,GNG385,GNG385_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
113,574984,GNG385,GNG385_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
114,12229,GNG385,GNG385_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
115,12426,GNG385,GNG385_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
116,536466,LC23,LC23_L,L,inter,acetylcholine,1.0,-1,,0.0,visual_projection
117,579933,LC23,LC23_L,L,inter,acetylcholine,1.0,-1,,0.0,visual_projection
118,17515,LC23,LC23_R,R,inter,acetylcholine,1.0,-1,,0.0,visual_projection
119,18632,LC23,LC23_R,R,inter,acetylcholine,1.0,-1,,0.0,visual_projection
120,31006,LC23,LC23_R,R,inter,acetylcholine,1.0,-1,,0.0,visual_projection
121,14318,LC31a,LC31a_L,L,inter,acetylcholine,1.0,-1,,0.0,visual_projection
122,29719,LC31a,LC31a_L,L,inter,acetylcholine,1.0,-1,,0.0,visual_projection
123,25862,LC31a,LC31a_R,R,inter,acetylcholine,1.0,-1,,0.0,visual_projection
124,39427,LC31a,LC31a_R,R,inter,acetylcholine,1.0,-1,,0.0,visual_projection
125,10147,LHAD1g1,LHAD1g1_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
126,10297,LHAD1g1,LHAD1g1_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
127,10345,LT40,LT40_L,L,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
128,11628,LT40,LT40_R,R,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
129,10936,LT61b,LT61b_L,L,inter,acetylcholine,1.0,-1,,0.0,visual_projection
130,12957,LT61b,LT61b_R,R,inter,acetylcholine,1.0,-1,,0.0,visual_projection
131,10051,Li39,Li39_L,L,inter,gaba,-1.0,-1,,0.0,ol_intrinsic
132,10611,Li39,Li39_R,R,inter,gaba,-1.0,-1,,0.0,ol_intrinsic
133,12225,LoVC15,LoVC15_L,L,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
134,519899,LoVC15,LoVC15_L,L,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
135,519900,LoVC15,LoVC15_L,L,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
136,10776,LoVC7,LoVC7_L,L,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
137,517193,LoVC7,LoVC7_R,R,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
138,11187,LoVP54,LoVP54_L,L,inter,acetylcholine,1.0,-1,,0.0,visual_projection
139,11435,LoVP54,LoVP54_R,R,inter,acetylcholine,1.0,-1,,0.0,visual_projection
140,10251,MeVP53,MeVP53_L,L,inter,gaba,-1.0,-1,,0.0,visual_projection
141,10480,MeVP53,MeVP53_R,R,inter,gaba,-1.0,-1,,0.0,visual_projection
142,38037,PLP018,PLP018_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
143,10089,PLP034,PLP034_L,L,inter,glutamate,-1.0,-1,,0.0,cb_intrinsic
144,11511,PLP034,PLP034_R,R,inter,glutamate,-1.0,-1,,0.0,cb_intrinsic
145,525958,PLP060,PLP060_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
146,11440,PLP060,PLP060_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
147,12557,PLP093,PLP093_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
148,12556,PLP093,PLP093_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
149,11303,PLP211,PLP211_L,L,inter,unclear,0.0,-1,,0.0,cb_intrinsic
150,11507,PLP211,PLP211_R,R,inter,unclear,0.0,-1,,0.0,cb_intrinsic
151,558846,PLP229,PLP229_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
152,14397,PLP229,PLP229_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
153,524091,PLP249,PLP249_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
154,11530,PLP249,PLP249_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
155,11047,PS001,PS001_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
156,13256,PS001,PS001_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
157,15139,PS002,PS002_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
158,522966,PS002,PS002_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
159,14533,PS002,PS002_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
160,14956,PS002,PS002_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
161,522443,PS002,PS002_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
162,30368,PS003,PS003(PS006)_L,L,inter,glutamate,-1.0,-1,,0.0,cb_intrinsic
163,523015,PS181,PS181_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
164,13995,PS181,PS181_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
165,15561,PS182,PS182_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
166,15898,PS182,PS182_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
167,63561,PS208,PS208_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
168,527654,PS208,PS208_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
169,26290,PS208,PS208_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
170,44617,PS208,PS208_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
171,10074,PVLP010,PVLP010_L,L,inter,glutamate,-1.0,-1,,0.0,cb_intrinsic
172,531985,PVLP010,PVLP010_R,R,inter,glutamate,-1.0,-1,,0.0,cb_intrinsic
173,16659,PVLP011,PVLP011_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
174,522346,PVLP013,PVLP013_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
175,11472,PVLP015,PVLP015_L,L,inter,glutamate,-1.0,-1,,0.0,cb_intrinsic
176,534040,PVLP015,PVLP015_R,R,inter,glutamate,-1.0,-1,,0.0,cb_intrinsic
177,11252,PVLP017,PVLP017_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
178,11883,PVLP017,PVLP017_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
179,15068,PVLP019,PVLP019_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
180,12255,PVLP019,PVLP019_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
181,65991,PVLP021,PVLP021_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
182,526031,PVLP021,PVLP021_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
183,13794,PVLP021,PVLP021_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
184,15815,PVLP021,PVLP021_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
185,11895,PVLP022,PVLP022_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
186,527690,PVLP022,PVLP022_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
187,530085,PVLP022,PVLP022_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
188,16475,PVLP024,PVLP024_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
189,16459,PVLP024,PVLP024_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
190,19454,PVLP024,PVLP024_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
191,511769,PVLP025,PVLP025_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
192,517426,PVLP026,PVLP026_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
193,15861,PVLP026,PVLP026_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
194,516152,PVLP027,PVLP027_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
195,10386,PVLP031,PVLP031_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
196,11102,PVLP046,PVLP046_L,L,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
197,20434,PVLP046,PVLP046_L,L,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
198,25607,PVLP046,PVLP046_L,L,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
199,17939,PVLP046,PVLP046_R,R,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
200,18350,PVLP046,PVLP046_R,R,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
201,22257,PVLP046,PVLP046_R,R,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
202,27194,PVLP046,PVLP046_R,R,inter,gaba,-1.0,-1,,0.0,visual_centrifugal
203,40842,PVLP066,PVLP066_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
204,34246,PVLP066,PVLP066_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
205,19658,PVLP074,PVLP074_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
206,23112,PVLP074,PVLP074_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
207,555383,PVLP076,PVLP076_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
208,10867,PVLP076,PVLP076_R,R,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
209,12344,PVLP094,PVLP094_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
210,15052,PVLP100,PVLP100_L,L,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
211,15545,PVLP100,PVLP100_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
212,18648,PVLP100,PVLP100_R,R,inter,gaba,-1.0,-1,,0.0,cb_intrinsic
213,10609,PVLP120,PVLP120(hb1599285725)_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
214,10992,PVLP122,PVLP122_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
215,11927,PVLP122,PVLP122_L,L,inter,acetylcholine,1.0,-1,,0.0,cb_intrinsic
