arm,dir_deg,speed,n,n_dn_mean,n_dn_sd,n_dn_med,n_dn_ci_lo,n_dn_ci_hi,n_base_mean,n_base_sd,n_base_med,n_base_ci_lo,n_base_ci_hi,li_mean,li_sd,li_med,li_ci_lo,li_ci_hi,d_away_mean,d_away_sd,d_away_med,d_away_ci_lo,d_away_ci_hi,disp_mean,disp_sd,disp_med,disp_ci_lo,disp_ci_hi,ta_mean,ta_sd,ta_med,ta_ci_lo,ta_ci_hi,v_peak_mean,v_peak_sd,v_peak_med,v_peak_ci_lo,v_peak_ci_hi,esc_peak_mean,esc_peak_sd,esc_peak_med,esc_peak_ci_lo,esc_peak_ci_hi
A,0,fast,100,130.25,29.20149824923372,145.0,124.419,135.691,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.20700718434695936,0.08857658434532091,0.2112748558965648,0.1900613802144938,0.2236087961027949,0.2424613645601056,0.056295813696483045,0.2369572500004386,0.23160141586054733,0.2533581634462821,0.94,0.23748684174075835,1.0,0.89,0.98,1.2278121443871652,0.09667271086946982,1.2524949538747703,1.2080519405361525,1.2434589058227987,2.268055598041974,0.5057493815766306,2.524482250213623,2.1754065216497986,2.3578982113238887
A,0,medium,100,107.43,39.46143813902378,123.5,99.87724999999999,114.94125,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.2707121848562813,0.1236901551273536,0.2803166680566772,0.24631339472981378,0.29468143549439096,0.3204007618330163,0.09346115779398269,0.333947468699196,0.30236891965696844,0.33823329180122264,0.95,0.21794494717703375,1.0,0.9097500000000001,0.99,0.9889628165000488,0.13677375041452897,0.983361085871895,0.9621115427408379,1.015718076217793,1.1194557234435525,0.27924569873623317,1.1993907243013382,1.0632272484263716,1.1743096828479318
A,0,slow,100,45.5,22.58738586025395,48.5,41.22,49.851,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,,,,,,0.12626900232762986,0.04645081340359858,0.1317694542595824,0.11688626430180203,0.1350067176733909,0.17117410864529614,0.02922127277738738,0.1646430649423155,0.16550829048990684,0.17696675754383157,0.96,0.19595917942265423,1.0,0.92,0.99,0.5785127651641505,0.09543413617137221,0.5693675515336494,0.5596568954239233,0.59794467299454,0.5504855144648846,0.2318393441706351,0.5915428772568703,0.5050904698352179,0.5951754577751539
A,45,fast,100,104.77,15.82141270557089,108.0,101.56925,107.88,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.5393378490847004,0.49960858970136285,0.7055727554179567,0.43126194621899844,0.6225722803886283,0.2421341453641028,0.12038404683242872,0.2438790026356495,0.219153029935959,0.2649663173359356,0.29693559781230067,0.08133051695128261,0.29548772080318353,0.28221930783891,0.31187782012119136,0.93,0.2551470164434615,1.0,0.88,0.9702499999999997,1.2466043572734329,0.12182153487959416,1.2864529149911395,1.2229914449734425,1.267095109219256,1.627456398382783,0.1865905049791403,1.6172522008419037,1.5906669999887235,1.6637606973447838
A,45,medium,100,61.95,18.16060296355823,60.0,58.3895,65.74024999999999,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.5491496772385069,0.5666221603234372,0.8,0.4336261214270026,0.6528367879872767,0.24922278980634277,0.1296626172973445,0.2310854645787484,0.22299621355560964,0.274594810727168,0.3160769437492307,0.09029644195739524,0.3073016711344388,0.2984459921731696,0.33356695911266476,0.96,0.19595917942265426,1.0,0.92,0.99,0.9517343446983552,0.16310141697420477,0.9057849281802983,0.9209885732856029,0.9863311768100849,0.7562359587594029,0.22642052536480733,0.6879700049757957,0.7135192294505701,0.8034860373886977
A,45,slow,100,29.16,13.835982075732826,29.0,26.6185,31.8705,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.6540558660958453,0.5635785648208564,0.9130434782608695,0.5385948810842868,0.7614174694588404,0.11636317800359157,0.049591344653839006,0.11531490238734668,0.10645218589228017,0.12485685404782906,0.18831696849633717,0.024535812938742435,0.18977314363471287,0.18355609570795667,0.19296570898605764,0.96,0.19595917942265423,1.0,0.92,0.99,0.5622437073018708,0.10362660962615906,0.525905659534543,0.5427204877603402,0.5819535321633935,0.39147527739235466,0.1610884667448219,0.37864938750863075,0.361006331094519,0.4245226554372226
A,90,fast,100,99.08,13.79686921007806,102.0,96.2185,101.581,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.7072963007928348,0.45950427499857877,0.8974332000841574,0.6136783065489059,0.7878658707856937,0.28519458624122507,0.11228251147537,0.3164676384468996,0.2636159655622549,0.305759668931759,0.32847675971006796,0.0700059591886436,0.3528581446413664,0.315209306369275,0.34131327192017163,0.94,0.23748684174075835,1.0,0.89,0.98,1.2643921815168153,0.06673602242065955,1.2891889164535737,1.2510943196990378,1.2758531311537367,1.602972751520574,0.2551864969250884,1.5869014486670494,1.5527265698313713,1.6548537902608513
A,90,medium,100,58.47,19.47945327774884,56.0,54.7385,62.61025,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.696423980006993,0.5636348451497559,0.9626135569531795,0.5816120525759008,0.8002632213350087,0.291873790463989,0.12451560264023319,0.32054502101905236,0.2660088489160627,0.31604912881981445,0.3493123337638054,0.07912678050128877,0.36796457171675084,0.33360419639776956,0.3644026334347081,0.95,0.21794494717703372,1.0,0.91,0.99,1.0640792552320795,0.1670237118019527,1.115485137179987,1.0328349390850051,1.0962703089977,0.7650021728689793,0.250803296275216,0.7135638985782862,0.7168402090152254,0.8134796118086275
A,90,slow,100,19.41,15.74553587528859,16.0,16.72925,22.780250000000002,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.7619433117780532,0.5402418652251666,1.0,0.6421896376461889,0.86600019274585,0.10986876321103349,0.04911715639881306,0.12408069892366314,0.09942226798445926,0.11852361019048617,0.1549037439295903,0.03553207190688889,0.15293903178922674,0.14834659723439864,0.16175683108043482,0.92,0.2712931993250107,1.0,0.86,0.97,0.539542365024196,0.12204838697927368,0.5031831272490858,0.5138782310621244,0.5626614039281018,0.3622989771018644,0.18290877879747225,0.31365828216075897,0.32810127783482923,0.4029171879051773
A,135,fast,100,85.32,17.055720447990463,85.5,82.089,88.7405,0.10666666666666666,0.36172426576668093,0.0,0.04,0.18666666666666665,0.6187793808082414,0.44449712888788423,0.8255434782608695,0.5324457001835878,0.6991565414267636,0.15142544770680458,0.1203348798463164,0.17777932608920552,0.12978646975120986,0.17444411971192156,0.29216036240160703,0.07270248331928447,0.32340383220003605,0.27800721784720434,0.3058534249598221,0.85,0.3570714214271425,1.0,0.78,0.92,1.1929506864201542,0.1626186559802393,1.271560647274003,1.1652357032242908,1.2223305635816533,1.510322032123804,0.29082408531652804,1.5159740671515465,1.4559479623548686,1.5678589761555193
