dir_deg,speed,d_away_A,sd_A,d_away_B,sd_B,R,R_lo,R_hi,n_dn_A,n_dn_B,flee_A,flee_B,eligible
0,fast,0.20700718434695936,0.08857658434532091,-0.04902304432160475,0.08873100030966635,1.236818081827723,1.1510796719393686,1.3197165953734868,130.25,6.91,0.94,0.16,True
0,medium,0.2707121848562813,0.1236901551273536,-0.0488531131163902,0.08881919487369552,1.1804614489086478,1.1169368679995475,1.2384481064657014,107.43,6.45,0.95,0.16,True
0,slow,0.12626900232762986,0.04645081340359858,-0.052559283892094966,0.08944358434455235,1.4162485085272118,1.2600916249419019,1.5707048481019377,45.5,3.93,0.96,0.16,True
45,fast,0.2421341453641028,0.12038404683242872,-0.04905344304997068,0.08165729274516591,1.2025878794426448,1.1311791627777585,1.2701442962562342,104.77,4.81,0.93,0.16,True
45,medium,0.24922278980634277,0.1296626172973445,-0.04863406067114963,0.0812107522450456,1.1951429109229557,1.1270152527742276,1.2637854949443978,61.95,4.18,0.96,0.15,True
45,slow,0.11636317800359157,0.049591344653839006,-0.04915502165757896,0.08174187142899453,1.4224276313256223,1.2587999204932545,1.5908278934668936,29.16,1.74,0.96,0.16,True
90,fast,0.28519458624122507,0.11228251147537,-0.014427119650738687,0.08286837805373648,1.0505869337875013,0.9975815961826714,1.1139600165691372,99.08,2.87,0.94,0.29,True
90,medium,0.291873790463989,0.12451560264023319,-0.0117705582697286,0.08173930967406404,1.0403275616183867,0.990573604623694,1.1020716435929698,58.47,1.84,0.95,0.28,True
90,slow,0.10986876321103349,0.04911715639881306,-0.010101777475920337,0.08253682908731295,1.0919440355992456,0.959558317520774,1.2720771078501028,19.41,0.83,0.92,0.3,True
135,fast,0.15142544770680458,0.1203348798463164,0.03220210027947935,0.0919072677717405,0.7873402339755322,0.6571260174273821,0.9107132433414602,85.32,2.03,0.85,0.7,True
135,medium,0.1575680980337391,0.14061605059646823,0.035034314127212134,0.0909097896565407,0.7776560448187269,0.6467996209185298,0.8943030025904732,56.27,1.54,0.79,0.73,True
135,slow,0.09097687608570107,0.05127743554815239,0.03730932682718295,0.09297824666572159,0.5899031882339286,0.43695985065779797,0.7845267484986875,11.03,0.54,0.84,0.73,True
180,fast,0.0062647092539807004,0.14062047878178252,0.06010369516669639,0.0908118972924148,-8.59401190542171,-125.22308645504751,-0.4070883691545738,79.51,1.88,0.45,0.79,False
180,medium,0.047884594846553635,0.1312612574071363,0.060893408203141396,0.09083203289715422,-0.27167011432955745,-2.054129647234635,0.3341789115620443,57.22,1.31,0.52,0.79,False
180,slow,0.08857684038141703,0.053260063937648046,0.06299314186372156,0.09267189629558024,0.2888305612113796,0.1543175272687917,0.4535177911426985,6.24,0.32,0.91,0.79,False
225,fast,0.11046132049384927,0.14115026511796994,0.052772619762158114,0.08151008546987976,0.5222524995516724,0.27772432463511676,0.686166442953698,79.57,2.25,0.78,0.8,True
225,medium,0.1347094536206915,0.16912955913582148,0.05429304794507089,0.08112312584927116,0.5969618576440323,0.40738088483512985,0.7507429498248761,57.92,1.43,0.72,0.79,True
225,slow,0.09076525369119741,0.05036387546730211,0.05391646311220279,0.08238339901547612,0.4059790402212944,0.26555870958305167,0.5843951220964716,7.27,0.44,0.92,0.79,True
270,fast,0.2531719396363702,0.09193359180653748,0.014422335313329569,0.08365633303316959,0.9430334367464092,0.87068213248722,1.0036428485480064,88.82,3.1,0.97,0.42,True
270,medium,0.2716352779880896,0.1172319429680767,0.015400944124776259,0.08309406465143125,0.9433028572766916,0.8762358639342315,0.9985458257313808,53.92,2.23,0.96,0.44,True
270,slow,0.1068550313256021,0.044303066959795356,0.014086112212253666,0.08450049614926486,0.8681754893755884,0.7215712056690007,1.0086353952537717,12.97,0.52,0.98,0.44,True
315,fast,0.23048672623087477,0.10699549791417107,-0.0271540776577973,0.09062945490203447,1.1178118935604018,1.0381222931195224,1.1880237757526546,96.87,4.97,0.93,0.2,True
315,medium,0.2318729341767141,0.13797586773824355,-0.027349554964221902,0.09116144168226469,1.1179506140349196,1.0380129527290112,1.1969619796830573,59.93,4.48,0.94,0.2,True
315,slow,0.10658058731994795,0.057054246158268734,-0.028402425283735152,0.09244416150419683,1.266487791050287,1.0813287796305309,1.4580368205064345,23.29,1.67,0.94,0.19,True
