arm,seed,dir_deg,speed,n_dn,n_base,n_L,n_R,li,d_away,disp,dphi,ta,v_peak,esc_peak,speed_name,model_id,protocol
A,1,0,1.2,110.0,0.0,30.0,80.0,,0.26834148018680437,0.307665363135614,0.5262672421508503,,0.9632185427954512,0.9999382793903351,medium,tdf-escape-v0.1-p2,v1
A,2,0,1.2,165.0,0.0,83.0,82.0,,0.3026635767893303,0.30838713202175644,0.11219543075839189,,0.9405602275104613,1.5408913493156433,medium,tdf-escape-v0.1-p2,v1
A,3,0,1.2,84.0,1.3333333333333333,12.0,72.0,,0.2452469047493462,0.2988030160352668,0.14360253186627503,,0.8534333265888544,0.852843314409256,medium,tdf-escape-v0.1-p2,v1
A,4,0,1.2,163.0,0.0,87.0,76.0,,0.3105151476825523,0.3110512619547247,0.49012231016235086,,0.9338545826554323,1.4770117402076721,medium,tdf-escape-v0.1-p2,v1
A,5,0,1.2,160.0,0.0,84.0,76.0,,0.27887392617458984,0.3167944278487795,-0.19832822262971117,,0.8548776666533252,1.3449493646621704,medium,tdf-escape-v0.1-p2,v1
A,6,0,1.2,157.0,0.0,85.0,72.0,,0.2741425656918275,0.3193795522198019,-0.12180412394281737,,0.9132978300080028,1.4311318397521973,medium,tdf-escape-v0.1-p2,v1
A,1,45,1.2,68.0,0.0,61.0,7.0,0.7941176470588235,0.10987385243324888,0.24571214817410722,0.5262672421508503,0.0,0.7615656821736032,0.7351487055420876,medium,tdf-escape-v0.1-p2,v1
A,2,45,1.2,67.0,0.0,63.0,4.0,0.8805970149253731,0.20621121456602615,0.28596331234190664,0.11219543075839189,0.0,0.7897336947711882,0.7314581871032715,medium,tdf-escape-v0.1-p2,v1
A,3,45,1.2,134.0,1.3333333333333333,84.0,50.0,0.2537313432835821,0.25616610025163783,0.30736990315844903,0.14360253186627503,0.0,0.9941384790013833,1.2553991675376892,medium,tdf-escape-v0.1-p2,v1
A,4,45,1.2,72.0,0.0,68.0,4.0,0.8888888888888888,0.2975332380438631,0.33418924050646226,0.49012231016235086,0.0,0.899989599455279,0.7332562506198883,medium,tdf-escape-v0.1-p2,v1
A,5,45,1.2,74.0,0.0,66.0,8.0,0.7837837837837838,0.2072729196818751,0.2778529673423499,-0.19832822262971117,1.0,0.8189927164763007,0.7532897889614105,medium,tdf-escape-v0.1-p2,v1
A,6,45,1.2,76.0,0.0,67.0,9.0,0.7631578947368421,0.23941761337321155,0.29004170810820057,-0.12180412394281737,1.0,0.7777465807787564,0.8733972907066345,medium,tdf-escape-v0.1-p2,v1
A,1,90,1.2,61.0,0.0,61.0,0.0,1.0,0.296974699421915,0.32267019147838855,0.5262672421508503,0.0,0.8507047475171671,0.6518789529800415,medium,tdf-escape-v0.1-p2,v1
A,2,90,1.2,67.0,0.0,66.0,1.0,0.9701492537313433,0.4065756840149993,0.40676797426800987,0.11219543075839189,0.0,1.0526588272017634,0.7211199067533016,medium,tdf-escape-v0.1-p2,v1
A,3,90,1.2,56.0,1.3333333333333333,56.0,0.0,1.0,0.29634203847144064,0.3194473370474815,0.14360253186627503,0.0,0.7982594131789332,0.5615421149447002,medium,tdf-escape-v0.1-p2,v1
A,4,90,1.2,70.0,0.0,68.0,2.0,0.9428571428571428,0.3681457020040569,0.3904682756469792,0.49012231016235086,0.0,1.0829596236186294,0.812851682305336,medium,tdf-escape-v0.1-p2,v1
A,5,90,1.2,63.0,0.0,63.0,0.0,1.0,0.4021547599472573,0.4027586002302776,-0.19832822262971117,1.0,1.1095149842118206,0.8422143012285233,medium,tdf-escape-v0.1-p2,v1
A,6,90,1.2,64.0,0.0,63.0,1.0,0.96875,0.39772092718446445,0.4072897713071723,-0.12180412394281737,1.0,1.121608463752366,0.8433739840984344,medium,tdf-escape-v0.1-p2,v1
A,1,135,1.2,60.0,0.0,58.0,2.0,0.9333333333333333,0.32792982155731804,0.35974659899382366,0.5262672421508503,0.0,1.120233166632997,0.9000313133001328,medium,tdf-escape-v0.1-p2,v1
